곡번호,제목,가수,브랜드
74798,모르시나요 (Prod. 로코베리),조째즈,금영
55791,나는 반딧불,황가람,금영
69033,가시,버즈,금영
80979,Drowning,WOODZ(조승연),금영
6286,Tears,소찬휘,금영
58340,예술이야,PSY,금영
9321,친구,안재욱,금영
9431,소주 한잔,임창정,금영
45076,참 다행이야,SPAPA,금영
82628,"천상연 (웹툰""선녀외전"")",이창섭,금영
3890,가질 수 없는 너,BANK,금영
87706,안동역에서,진성,금영
68045,그 집 앞,이재성,금영
5830,이미 슬픈 사랑,야다,금영
4089,슬퍼지려 하기전에,쿨,금영
68473,삭제,이승기,금영
46868,술 한잔해요,지아,금영
5737,그래 늦지 않았어,녹색지대,금영
45117,"응급실 (드라마""쾌걸춘향"")",izi,금영
3977,준비 없는 이별,녹색지대,금영
91478,"모든 날, 모든 순간 (드라마 키스 먼저...)",폴킴,금영
76588,초혼,장윤정,금영
7086,사랑.TWO,윤도현,금영
46485,비와 당신,럼블피쉬,금영
21445,평행선,문희옥,금영
6666,I Love You,포지션,금영
46863,형,노라조,금영
5422,애상,쿨,금영
45653,비행기,거북이,금영
85066,My Love (And),버즈,금영
6348,"너를 위해(영화""동감"")",임재범,금영
85068,남자를 몰라,버즈,금영
87571,미운 사랑,진미령,금영
6491,바다의 왕자,박명수,금영
48848,보릿고개,진성,금영
24793,심,DK(디셈버),금영
64799,사랑아,장윤정,금영
45195,인연(동녘바람),이선희,금영
3658,잘못된 만남,김건모,금영
81766,"사랑아(드라마 ""내 남자의 여자"")",THE ONE,금영
50321,0+0,한로로,금영
90322,좋니,윤종신,금영
49082,어디에도,M.C THE MAX !,금영
56380,어제보다 슬픈 오늘,우디,금영
64835,"질풍가도(만화 ""쾌걸! 근육맨 2세"")",유정석,금영
6438,"말리 꽃 (영화""비천무"")",이승철,금영
9343,귀거래사,김신우,금영
45246,서울의 달,김건모,금영
1697,숙녀에게,변진섭,금영
58464,흰수염고래,윤도현밴드,금영
23291,사랑은 늘 도망가 (드라마 신사와 아가씨),임영웅,금영
88450,"미치게 그리워서 (드라마""울지 않는 새"")",유해준,금영
3446,서시,신성우,금영
58800,오라버니,금잔디,금영
6048,천년의 사랑,박완규,금영
45387,애인 있어요,이은미,금영
63269,체념,BIG MAMA,금영
4713,천생연분,솔리드,금영
6344,멍,김현정,금영
86496,"나에게 그대만이(드라마 ""다 함께 차차차"")",유해준,금영
1220,어쩌다 마주친 그대,송골매,금영
9034,그래서 그대는,얀(Yarn),금영
7513,화장을 고치고,WAX,금영
7153,비상,임재범,금영
78629,다시 사랑한다면 (니글니글 버터플라이),김필,금영
47408,끝 사랑,김범수,금영
83886,붉은 노을,빅뱅,금영
6101,천상 재회,최진희,금영
68889,우연히,우연이,금영
45229,나에게로 떠나는 여행,버즈,금영
45717,까만안경,이루,금영
62836,One Love,M.C THE MAX !,금영
4448,서른 즈음에,김광석,금영
7127,빗속의 여인(Remake),김건모,금영
62666,낭만 고양이,CHERRY FILTER,금영
8282,다비치,닫기,금영
45528,사랑 안 해,백지영,금영
45718,"비와 당신 (영화""라디오스타"")",박중훈,금영
81136,버스 안에서(2006),ZA ZA,금영
1454,그 겨울의 찻집,조용필,금영
27438,막걸리 한잔,영탁,금영
64589,빙고,거북이,금영
46283,라라라,SG워너비,금영
4984,발걸음,에메랄드 캐슬,금영
46557,"그런 사람 또 없습니다 (영화""슬픔보다 더.."")",이승철,금영
64438,사랑의 바보,The Nuts,금영
22030,응급실 (Original Version),izi,금영
6181,너를 보내고,윤도현밴드,금영
65782,Monologue,버즈,금영
85183,나는 나비,윤도현밴드,금영
46773,사랑 비,김태우,금영
56535,사랑하게 될 거야,한로로,금영
2905,꽃바람 여인,조승구,금영
9037,Never Ending Story,부활,금영
45202,사랑했나 봐,윤도현,금영
5511,그녀와의 이별,김현정,금영
76229,"첫눈처럼 너에게 가겠다 (드라마""도깨비"")",에일리,금영
